subjID,logts,trialname,trialindex,trialstructure,goaldistances,numwalls,walldistances,numbounces,ballstartpos,ballwaitpos,trialtarget,targetswitched,usertarget,responsetime,simtime,score
user_1547687030605,1547687122963,contain_sc4_var_l3_complex_l4_LEFT,1,"{'Name': 'contain_sc4_var_l3_complex_l4_LEFT', 'Dims': [600, 600], 'ClosedEnds': [1, 3, 2, 4], 'BKColor': [255, 255, 255], 'Ball': [[400, 500], [1, -1], 20, [0, 0, 255], 1], 'Walls': [[[140, 420], [160, 600], [0, 0, 0], 1]], 'AbnormWalls': [], 'Occluders': [], 'Paddle': None, 'Goals': [[[50, 320], [100, 420], 202, [0, 255, 0]], [[110, 20], [160, 120], 201, [255, 0, 0]]]}","[{'name': 'green', 'goal': {'top': 320, 'left': 50, 'bottom': 420, 'right': 100, 'onret': 202, 'color': 'rgba(0,255,0,255)'}, 'goaldist': 387.50000000001}, {'name': 'red', 'goal': {'top': 20, 'left': 110, 'bottom': 120, 'right': 160, 'onret': 201, 'color': 'rgba(255,0,0,255)'}, 'goaldist': 437.44285341059}]",1,"[{'wall': {'top': 420, 'left': 140, 'bottom': 600, 'right': 160}, 'walldist': 327.65263618656}]",3,"{'x': 400, 'y': 500}","{'x': 487.50000000001, 'y': 410}",green,False,red,324,1270,-10
user_1547687030605,1547687126162,contain_sc2_var_l2_complex_l2_LEFT,2,"{'Name': 'contain_sc2_var_l2_complex_l2_LEFT', 'Dims': [600, 600], 'ClosedEnds': [1, 3, 2, 4], 'BKColor': [255, 255, 255], 'Ball': [[500, 490], [1, -1], 20, [0, 0, 255], 1], 'Walls': [[[200, 460], [430, 480], [0, 0, 0], 1], [[200, 120], [430, 140], [0, 0, 0], 1], [[430, 460], [450, 600], [0, 0, 0], 1], [[430, 0], [450, 140], [0, 0, 0], 1], [[480, 200], [520, 240], [0, 0, 0], 1]], 'AbnormWalls': [], 'Occluders': [], 'Paddle': None, 'Goals': [[[130, 460], [180, 560], 201, [255, 0, 0]], [[100, 250], [150, 350], 202, [0, 255, 0]]]}","[{'name': 'green', 'goal': {'top': 460, 'left': 130, 'bottom': 560, 'right': 180, 'onret': 202, 'color': 'rgb(0,255,0)'}, 'goaldist': 397.3557505179}, {'name': 'red', 'goal': {'top': 250, 'left': 100, 'bottom': 350, 'right': 150, 'onret': 201, 'color': 'rgb(255,0,0)'}, 'goaldist': 425.74590258107}]",5,"[{'wall': {'top': 460, 'left': 200, 'bottom': 480, 'right': 430}, 'walldist': 154.89270483771}, {'wall': {'top': 120, 'left': 200, 'bottom': 140, 'right': 430}, 'walldist': 296.63403380586}, {'wall': {'top': 460, 'left': 430, 'bottom': 600, 'right': 450}, 'walldist': 136.67392807454}, {'wall': {'top': 0, 'left': 430, 'bottom': 140, 'right': 450}, 'walldist': 287.5408885973}, {'wall': {'top': 200, 'left': 480, 'bottom': 240, 'right': 520}, 'walldist': 168.48681469826}]",2,"{'x': 500, 'y': 490}","{'x': 572.79968491541, 'y': 400}",red,True,green,587,778,-10
user_1547687030605,1547687133299,contain_sc1_var_l1_complex_l1_distractor,3,"{'Name': 'contain_sc1_var_l1_complex_l1_distractor', 'Dims': [600, 600], 'ClosedEnds': [1, 3, 2, 4], 'BKColor': [255, 255, 255], 'Ball': [[120, 300], [1, 1], 20, [0, 0, 255], 1], 'Walls': [[[30, 110], [220, 130], [0, 0, 0], 1], [[380, 110], [570, 130], [0, 0, 0], 1], [[30, 130], [50, 550], [0, 0, 0], 1], [[50, 530], [570, 550], [0, 0, 0], 1], [[550, 130], [570, 550], [0, 0, 0], 1]], 'AbnormWalls': [], 'Occluders': [], 'Paddle': None, 'Goals': [[[30, 10], [130, 60], 202, [0, 255, 0]], [[400, 40], [500, 90], 201, [255, 0, 0]]]}","[{'name': 'red', 'goal': {'top': 10, 'left': 30, 'bottom': 60, 'right': 130, 'onret': 201, 'color': 'rgb(255,0,0)'}, 'goaldist': 338.97824413965}, {'name': 'green', 'goal': {'top': 40, 'left': 400, 'bottom': 90, 'right': 500, 'onret': 202, 'color': 'rgb(0,255,0)'}, 'goaldist': 356.44950554041}]",5,"[{'wall': {'top': 110, 'left': 30, 'bottom': 130, 'right': 220}, 'walldist': 260}, {'wall': {'top': 110, 'left': 380, 'bottom': 130, 'right': 570}, 'walldist': 312.01963079268}, {'wall': {'top': 130, 'left': 30, 'bottom': 550, 'right': 50}, 'walldist': 157.50000000001}, {'wall': {'top': 530, 'left': 50, 'bottom': 550, 'right': 570}, 'walldist': 140}, {'wall': {'top': 130, 'left': 550, 'bottom': 550, 'right': 570}, 'walldist': 342.49999999999}]",10,"{'x': 120, 'y': 300}","{'x': 207.50000000001, 'y': 390}",green,True,red,562,3844,-10
user_1547687030605,1547687138722,contain_sc1_var_l1_complex_l2_distractor_TWICE,4,"{'Name': 'contain_sc1_var_l1_complex_l2_distractor_TWICE', 'Dims': [600, 600], 'ClosedEnds': [1, 3, 2, 4], 'BKColor': [255, 255, 255], 'Ball': [[480, 300], [-1, -1], 20, [0, 0, 255], 1], 'Walls': [[[380, 470], [570, 490], [0, 0, 0], 1], [[30, 470], [220, 490], [0, 0, 0], 1], [[550, 50], [570, 470], [0, 0, 0], 1], [[30, 50], [550, 70], [0, 0, 0], 1], [[30, 50], [50, 470], [0, 0, 0], 1], [[340, 180], [380, 220], [0, 0, 0], 1]], 'AbnormWalls': [], 'Occluders': [], 'Paddle': None, 'Goals': [[[470, 540], [570, 590], 201, [255, 0, 0]], [[100, 510], [200, 560], 202, [0, 255, 0]]]}","[{'name': 'green', 'goal': {'top': 540, 'left': 470, 'bottom': 590, 'right': 570, 'onret': 202, 'color': 'rgb(0,255,0)'}, 'goaldist': 335.92231308069}, {'name': 'red', 'goal': {'top': 510, 'left': 100, 'bottom': 560, 'right': 200, 'onret': 201, 'color': 'rgb(255,0,0)'}, 'goaldist': 364.5983688542}]",6,"[{'wall': {'top': 470, 'left': 380, 'bottom': 490, 'right': 570}, 'walldist': 260}, {'wall': {'top': 470, 'left': 30, 'bottom': 490, 'right': 220}, 'walldist': 320.38095756109}, {'wall': {'top': 50, 'left': 550, 'bottom': 470, 'right': 570}, 'walldist': 142.79968491543}, {'wall': {'top': 50, 'left': 30, 'bottom': 70, 'right': 550}, 'walldist': 140}, {'wall': {'top': 50, 'left': 30, 'bottom': 470, 'right': 50}, 'walldist': 357.20031508457}, {'wall': {'top': 180, 'left': 340, 'bottom': 220, 'right': 380}, 'walldist': 27.200315084569}]",12,"{'x': 480, 'y': 300}","{'x': 407.20031508457, 'y': 210}",green,True,green,785,2945,78
user_1547687030605,1547687141475,contain_sc2_var_l2_complex_l1_RIGHT,5,"{'Name': 'contain_sc2_var_l2_complex_l1_RIGHT', 'Dims': [600, 600], 'ClosedEnds': [1, 3, 2, 4], 'BKColor': [255, 255, 255], 'Ball': [[100, 110], [-1, 1], 20, [0, 0, 255], 1], 'Walls': [[[170, 120], [400, 140], [0, 0, 0], 1], [[170, 460], [400, 480], [0, 0, 0], 1], [[150, 0], [170, 140], [0, 0, 0], 1], [[150, 460], [170, 600], [0, 0, 0], 1]], 'AbnormWalls': [], 'Occluders': [], 'Paddle': None, 'Goals': [[[420, 40], [470, 140], 201, [255, 0, 0]], [[450, 250], [500, 350], 202, [0, 255, 0]]]}","[{'name': 'green', 'goal': {'top': 40, 'left': 420, 'bottom': 140, 'right': 470, 'onret': 202, 'color': 'rgb(0,255,0)'}, 'goaldist': 397.35575051792}, {'name': 'red', 'goal': {'top': 250, 'left': 450, 'bottom': 350, 'right': 500, 'onret': 201, 'color': 'rgb(255,0,0)'}, 'goaldist': 425.74590258108}]",4,"[{'wall': {'top': 120, 'left': 170, 'bottom': 140, 'right': 400}, 'walldist': 154.89270483772}, {'wall': {'top': 460, 'left': 170, 'bottom': 480, 'right': 400}, 'walldist': 296.63403380587}, {'wall': {'top': 0, 'left': 150, 'bottom': 140, 'right': 170}, 'walldist': 136.67392807455}, {'wall': {'top': 460, 'left': 150, 'bottom': 600, 'right': 170}, 'walldist': 287.5408885973}]",2,"{'x': 100, 'y': 110}","{'x': 27.200315084575, 'y': 200}",red,True,red,434,775,92
user_1547687030605,1547687145763,contain_sc1_var_l3_complex_l3,6,"{'Name': 'contain_sc1_var_l3_complex_l3', 'Dims': [600, 600], 'ClosedEnds': [1, 3, 2, 4], 'BKColor': [255, 255, 255], 'Ball': [[120, 300], [1, 1], 20, [0, 0, 255], 1], 'Walls': [[[30, 130], [50, 550], [0, 0, 0], 1], [[50, 530], [570, 550], [0, 0, 0], 1], [[550, 130], [570, 550], [0, 0, 0], 1], [[220, 380], [260, 420], [0, 0, 0], 1], [[400, 200], [440, 240], [0, 0, 0], 1]], 'AbnormWalls': [], 'Occluders': [], 'Paddle': None, 'Goals': [[[30, 10], [130, 60], 202, [0, 255, 0]], [[250, 80], [350, 130], 201, [255, 0, 0]]]}","[{'name': 'green', 'goal': {'top': 10, 'left': 30, 'bottom': 60, 'right': 130, 'onret': 202, 'color': 'rgba(0,255,0,255)'}, 'goaldist': 335.92231308069}, {'name': 'red', 'goal': {'top': 80, 'left': 250, 'bottom': 130, 'right': 350, 'onret': 201, 'color': 'rgba(255,0,0,255)'}, 'goaldist': 266.21772301215}]",5,"[{'wall': {'top': 130, 'left': 30, 'bottom': 550, 'right': 50}, 'walldist': 142.79968491543}, {'wall': {'top': 530, 'left': 50, 'bottom': 550, 'right': 570}, 'walldist': 140}, {'wall': {'top': 130, 'left': 550, 'bottom': 550, 'right': 570}, 'walldist': 357.20031508457}, {'wall': {'top': 380, 'left': 220, 'bottom': 420, 'right': 260}, 'walldist': 27.200315084569}, {'wall': {'top': 200, 'left': 400, 'bottom': 240, 'right': 440}, 'walldist': 255.79673682662}]",7,"{'x': 120, 'y': 300}","{'x': 192.79968491543, 'y': 390}",red,False,green,813,1796,-10
user_1547687030605,1547687149890,contain_sc3_var_l1_complex_l3_distractor_RIGHT,7,"{'Name': 'contain_sc3_var_l1_complex_l3_distractor_RIGHT', 'Dims': [600, 600], 'ClosedEnds': [1, 3, 2, 4], 'BKColor': [255, 255, 255], 'Ball': [[400, 30], [-1, 1], 20, [0, 0, 255], 1], 'Walls': [[[170, 100], [600, 120], [0, 0, 0], 1], [[150, 100], [170, 350], [0, 0, 0], 1], [[70, 180], [110, 220], [0, 0, 0], 1], [[260, 360], [300, 400], [0, 0, 0], 1]], 'AbnormWalls': [], 'Occluders': [], 'Paddle': None, 'Goals': [[[350, 150], [400, 250], 202, [0, 255, 0]], [[350, 420], [400, 520], 201, [255, 0, 0]]]}","[{'name': 'green', 'goal': {'top': 150, 'left': 350, 'bottom': 250, 'right': 400, 'onret': 202, 'color': 'rgba(0,255,0,255)'}, 'goaldist': 116.1406750454}, {'name': 'red', 'goal': {'top': 420, 'left': 350, 'bottom': 520, 'right': 400, 'onret': 201, 'color': 'rgba(255,0,0,255)'}, 'goaldist': 381.76623266077}]",4,"[{'wall': {'top': 100, 'left': 170, 'bottom': 120, 'right': 600}, 'walldist': 59.92}, {'wall': {'top': 100, 'left': 150, 'bottom': 350, 'right': 170}, 'walldist': 154.58543398392}, {'wall': {'top': 180, 'left': 70, 'bottom': 220, 'right': 110}, 'walldist': 246.13788087167}, {'wall': {'top': 360, 'left': 260, 'bottom': 400, 'right': 300}, 'walldist': 320.16410854435}]",12,"{'x': 400, 'y': 30}","{'x': 312.49999999999, 'y': 40.08}",red,False,red,485,2117,90
user_1547687030605,1547687153330,contain_sc4_var_l3_complex_l4_RIGHT,8,"{'Name': 'contain_sc4_var_l3_complex_l4_RIGHT', 'Dims': [600, 600], 'ClosedEnds': [1, 3, 2, 4], 'BKColor': [255, 255, 255], 'Ball': [[200, 100], [-1, 1], 20, [0, 0, 255], 1], 'Walls': [[[440, 0], [460, 180], [0, 0, 0], 1]], 'AbnormWalls': [], 'Occluders': [], 'Paddle': None, 'Goals': [[[500, 180], [550, 280], 202, [0, 255, 0]], [[440, 480], [490, 580], 201, [255, 0, 0]]]}","[{'name': 'red', 'goal': {'top': 180, 'left': 500, 'bottom': 280, 'right': 550, 'onret': 201, 'color': 'rgb(255,0,0)'}, 'goaldist': 387.5}, {'name': 'green', 'goal': {'top': 480, 'left': 440, 'bottom': 580, 'right': 490, 'onret': 202, 'color': 'rgb(0,255,0)'}, 'goaldist': 437.44285341059}]",1,"[{'wall': {'top': 0, 'left': 440, 'bottom': 180, 'right': 460}, 'walldist': 327.65263618656}]",3,"{'x': 200, 'y': 100}","{'x': 112.5, 'y': 190}",red,True,green,450,1268,-10
user_1547687030605,1547687155779,contain_sc3_var_l3_complex_l1_RIGHT,9,"{'Name': 'contain_sc3_var_l3_complex_l1_RIGHT', 'Dims': [600, 600], 'ClosedEnds': [1, 3, 2, 4], 'BKColor': [255, 255, 255], 'Ball': [[400, 30], [-1, 1], 20, [0, 0, 255], 1], 'Walls': [[[450, 100], [600, 120], [0, 0, 0], 1], [[430, 100], [450, 350], [0, 0, 0], 1]], 'AbnormWalls': [], 'Occluders': [], 'Paddle': None, 'Goals': [[[0, 370], [100, 420], 202, [0, 255, 0]], [[350, 420], [400, 520], 201, [255, 0, 0]]]}","[{'name': 'red', 'goal': {'top': 370, 'left': 0, 'bottom': 420, 'right': 100, 'onret': 201, 'color': 'rgb(255,0,0)'}, 'goaldist': 328.11011871016}, {'name': 'green', 'goal': {'top': 420, 'left': 350, 'bottom': 520, 'right': 400, 'onret': 202, 'color': 'rgb(0,255,0)'}, 'goaldist': 302.33466556119}]",2,"[{'wall': {'top': 100, 'left': 450, 'bottom': 120, 'right': 600}, 'walldist': 137.50000000001}, {'wall': {'top': 100, 'left': 430, 'bottom': 350, 'right': 450}, 'walldist': 117.50000000001}]",0,"{'x': 400, 'y': 30}","{'x': 312.49999999999, 'y': 120}",red,True,red,691,436,82
user_1547687030605,1547687159954,contain_sc1_var_l1_complex_l2,10,"{'Name': 'contain_sc1_var_l1_complex_l2', 'Dims': [600, 600], 'ClosedEnds': [1, 3, 2, 4], 'BKColor': [255, 255, 255], 'Ball': [[120, 300], [1, 1], 20, [0, 0, 255, 255], 1], 'Walls': [[[30, 110], [220, 130], [0, 0, 0], 1], [[380, 110], [570, 130], [0, 0, 0], 1], [[30, 130], [50, 550], [0, 0, 0], 1], [[50, 530], [570, 550], [0, 0, 0], 1], [[550, 130], [570, 550], [0, 0, 0], 1], [[220, 380], [260, 420], [0, 0, 0], 1]], 'AbnormWalls': [], 'Occluders': [], 'Paddle': None, 'Goals': [[[30, 10], [130, 60], 201, [255, 0, 0]], [[250, 80], [350, 130], 202, [0, 255, 0]]]}","[{'name': 'red', 'goal': {'top': 10, 'left': 30, 'bottom': 60, 'right': 130, 'onret': 201, 'color': 'rgba(255,0,0,255)'}, 'goaldist': 335.92231308069}, {'name': 'green', 'goal': {'top': 80, 'left': 250, 'bottom': 130, 'right': 350, 'onret': 202, 'color': 'rgba(0,255,0,255)'}, 'goaldist': 266.21772301215}]",6,"[{'wall': {'top': 110, 'left': 30, 'bottom': 130, 'right': 220}, 'walldist': 260}, {'wall': {'top': 110, 'left': 380, 'bottom': 130, 'right': 570}, 'walldist': 320.38095756109}, {'wall': {'top': 130, 'left': 30, 'bottom': 550, 'right': 50}, 'walldist': 142.79968491543}, {'wall': {'top': 530, 'left': 50, 'bottom': 550, 'right': 570}, 'walldist': 140}, {'wall': {'top': 130, 'left': 550, 'bottom': 550, 'right': 570}, 'walldist': 357.20031508457}, {'wall': {'top': 380, 'left': 220, 'bottom': 420, 'right': 260}, 'walldist': 27.200315084569}]",9,"{'x': 120, 'y': 300}","{'x': 192.79968491543, 'y': 390}",green,False,green,353,2480,95
